endTime,artist,track,time
25/06/2021 15:49,Daniela Andrade,La Vie En Rose,0
25/06/2021 15:49,NAV,Myself,0.005533333
25/06/2021 15:49,The Hunna,She's Casual,2.456166667
25/06/2021 15:49,Billie Eilish,ocean eyes,0.009833333
25/06/2021 15:52,Billie Eilish,ocean eyes,3.33965
25/06/2021 15:56,NAV,Myself,3.767333333
25/06/2021 15:58,Kendrick Lamar,Big Shot (with Travis Scott),1.890466667
25/06/2021 16:00,Russ,Some Time,1.812966667
25/06/2021 16:01,Olivia Rodrigo,good 4 u,1.325033333
25/06/2021 16:06,Olivia Rodrigo,drivers license,3.436
25/06/2021 16:20,Doja Cat,You Right,1.04085
25/06/2021 18:20,One Direction,Fireproof,0.004516667
25/06/2021 18:20,One Direction,Fireproof,0.042466667
25/06/2021 18:20,sadeyes,i deserve better,1.3656
25/06/2021 18:20,Finding Hope,03:00 AM,0.01025
25/06/2021 18:20,Kasper Lindmark,Intimate,0.01045
25/06/2021 18:21,Teqkoi,I'm Not Enough and I'm Sorry,0.210116667
25/06/2021 18:21,Lilac,Honey & Lemon,0.331883333
25/06/2021 18:21,Kasper Lindmark,Intimate,0.393
25/06/2021 18:21,Petit Biscuit,Sunset Lover,0.060783333
25/06/2021 18:25,One Direction,Fireproof,2.901333333
25/06/2021 18:29,Finding Hope,03:00 AM,3.36585
25/06/2021 18:31,Anuv Jain,Ocean,0.00985
25/06/2021 18:31,Kina,Nobody Cares,2.920483333
25/06/2021 18:31,One Direction,Night Changes,0.000383333
25/06/2021 18:32,Teqkoi,Please Come Back,0.225033333
25/06/2021 18:32,Teqkoi,Please Come Back,0.001033333
25/06/2021 18:32,sagun,I'll Keep You Safe,0.215783333
25/06/2021 18:32,Kina,Wish I Was Better,0.000783333
25/06/2021 18:32,Lauv,i'm so tired...,0.131633333
25/06/2021 18:36,Lauv,i'm so tired... - Stripped - Live in LA,3.127916667
25/06/2021 18:36,Lauv,Superhero,0.392883333
25/06/2021 18:41,Sushma Shrestha,"Kya Hua Tera Vada (From ""Hum Kisise Kum Naheen"")",2.991333333
25/06/2021 18:41,Russ,Satisfy,0.0292
25/06/2021 18:41,Russ,Satisfy,0.2045
25/06/2021 18:43,Russ,Moonlight in Atlanta,0.074366667
25/06/2021 18:43,Russ,Satisfy,1.9326
25/06/2021 18:46,Russ,"Psycho, Pt. 2",2.69975
25/06/2021 18:49,Russ,Ride Slow,3.09
25/06/2021 18:53,Russ,Losin Control,3.958433333
25/06/2021 18:57,Russ,Sep-16,4.164433333
25/06/2021 19:01,Russ,Missin You Crazy,3.778216667
25/06/2021 19:04,Russ,From a Distance,2.922
25/06/2021 19:07,Russ,3:15 (Breathe),3.066666667
25/06/2021 19:10,Russ,Satisfy,3.546866667
25/06/2021 19:14,Russ,Ride Slow,3.09
25/06/2021 19:18,Russ,Fallin' Too,0.209633333
26/06/2021 02:59,Russ,Fallin' Too,4.80095
26/06/2021 03:01,Russ,Someone to Drink With,1.726666667
26/06/2021 03:04,Russ,Sep-16,3.312183333
26/06/2021 08:17,Russ,Sep-16,0.0731
26/06/2021 08:17,Russ,Ain't Nobody Takin My Baby,0.053266667
26/06/2021 08:21,Russ,Missin You Crazy,3.778216667
26/06/2021 08:22,Russ,Keep It Pushin (feat. Mahalia),0.827616667
26/06/2021 13:10,Russ,Moonlight in Atlanta,0
26/06/2021 13:10,Russ,Alone,0
26/06/2021 13:11,Russ,The Otherside,0
27/06/2021 04:20,Inpetto,Over You,0.86995
27/06/2021 04:24,Metro Boomin,Dreamcatcher (feat. Swae Lee & Travis Scott),3.532
27/06/2021 04:27,Russ,NIGHTTIME (Interlude),3.164433333
27/06/2021 04:29,Roddy Ricch,late at night,1.94505
27/06/2021 05:12,rei brown,Street Fighter,3
27/06/2021 05:17,Zach Farache,Charlie Brown,3.239633333
27/06/2021 05:19,sagun,I'm Drunk And Confused,2.6
27/06/2021 05:24,Mild Orange,Losing Time,4.682616667
27/06/2021 05:27,SwuM,Rick N Morty,1.863
27/06/2021 05:33,Oliver Koletzki,Hypnotized,5.676
27/06/2021 05:35,Joji,worldstar money (interlude),2.1052
27/06/2021 05:37,Jetson,Archy,1.8909
27/06/2021 05:39,halberd,carry on,1.875866667
27/06/2021 05:41,Clairo,Flaming Hot Cheetos,2.064733333
27/06/2021 05:44,Idealism,Wanna Know,2.214533333
27/06/2021 05:45,Made in M,Old Roots New Trees,1.5375
27/06/2021 05:48,HYESUNG,Bite Your Soul,3.1702
27/06/2021 06:13,BØJET,I'm So Alone,0.121516667
27/06/2021 06:14,Roddy Ricch,late at night,1.73135
27/06/2021 06:16,halberd,carry on,1.2806
27/06/2021 06:16,Inpetto,Over You,0
27/06/2021 06:18,AP Dhillon,Insane,2.7087
27/06/2021 06:22,AP Dhillon,Brown Munde,3.840833333
27/06/2021 06:31,Doja Cat,Wine Pon You (feat. Konshens),1.87105
27/06/2021 06:37,Doja Cat,Wine Pon You (feat. Konshens),1.784766667
27/06/2021 06:38,Doja Cat,Juicy,0.61515
27/06/2021 06:44,Jaden,PCH,5.853366667
27/06/2021 06:47,Meek Mill,Going Bad (feat. Drake),3.0087
27/06/2021 06:50,Machine Gun Kelly,bloody valentine,3.4193
27/06/2021 06:52,Porsche Love,Wish You Well,1.584316667
27/06/2021 07:04,MAX,Lights Down Low,0.017683333
27/06/2021 07:04,LANY,Hurts,0.0228
27/06/2021 07:04,Powfu,throw it all away (feat. Jomie),1.899583333
27/06/2021 07:06,SALES,Chinese New Year,1.862333333
27/06/2021 07:10,Stefan Eli,Pink Smoke,3.264883333
27/06/2021 07:14,Drake,Lemon Pepper Freestyle (feat. Rick Ross),0.627816667
27/06/2021 07:33,Drake,Lemon Pepper Freestyle (feat. Rick Ross),0.044533333
27/06/2021 07:39,Liza Anne,"1,000 Years",0.313483333
27/06/2021 07:39,Drake,Lemon Pepper Freestyle (feat. Rick Ross),5.540066667
27/06/2021 07:40,Ella Vos,You Don't Know About Me (R3hab Remix),0.015816667
27/06/2021 07:40,Russ,Me You,0.899983333
27/06/2021 07:41,Noah Kahan,Hold It Down,0.96335
27/06/2021 07:44,Metro Boomin,Dreamcatcher (feat. Swae Lee & Travis Scott),3.532
27/06/2021 07:48,Russ,NIGHTTIME (Interlude),0.073033333
27/06/2021 07:48,AP Dhillon,Insane,0.004216667
27/06/2021 07:48,Serhat Durmus,Yolu Yok (feat. Zerrin),3.266516667
27/06/2021 07:49,Inpetto,Over You,0.9089
27/06/2021 07:52,Roddy Ricch,late at night,2.911366667
27/06/2021 07:54,Russ,Satisfy,2.621166667
27/06/2021 07:58,Lauv,i'm so tired... - Stripped - Live in LA,3.127916667
27/06/2021 08:01,ASTN,Love No More,3.147983333
27/06/2021 08:03,ASTN,eighty five 911,2.644583333
27/06/2021 08:06,ASTN,Butterflies,2.920416667
27/06/2021 08:18,DJ Khaled,GREECE (feat. Drake),2.4219
27/06/2021 08:20,Elijah Who,my new love,1.0965
27/06/2021 08:23,sophie meiers,Bruises and Satin - Demo,3.0552
27/06/2021 08:25,sagun,worst day,2.0857
27/06/2021 08:27,eery,hardly,1.638066667
27/06/2021 08:28,Nohidea,you don't have to cry,0.864166667
27/06/2021 08:30,sagun,I'm Drunk And Confused,2.6
27/06/2021 08:35,sophie meiers,Don't Be Scared,3.066666667
27/06/2021 08:36,eery,woodwork,0.757083333
27/06/2021 08:39,CuBox,Losing Interest (feat. Lane 37),2.8325
27/06/2021 08:42,khai dreams,Medicine,1.630483333
27/06/2021 13:19,Inpetto,Over You,0.196666667
27/06/2021 16:02,Russ,NIGHTTIME (Interlude),0.053733333
27/06/2021 16:02,AP Dhillon,Insane,0.266166667
27/06/2021 16:02,Serhat Durmus,Yolu Yok (feat. Zerrin),0.017583333
27/06/2021 16:02,Metro Boomin,Dreamcatcher (feat. Swae Lee & Travis Scott),3.532
27/06/2021 16:03,Metro Boomin,Dreamcatcher (feat. Swae Lee & Travis Scott),0.239333333
27/06/2021 22:15,Metro Boomin,Dreamcatcher (feat. Swae Lee & Travis Scott),1.074833333
28/06/2021 00:57,Metro Boomin,Dreamcatcher (feat. Swae Lee & Travis Scott),3.532
28/06/2021 01:01,Serhat Durmus,Yolu Yok (feat. Zerrin),3.266516667
28/06/2021 01:05,Russ,NIGHTTIME (Interlude),3.164433333
28/06/2021 01:09,AP Dhillon,Insane,3.434333333
28/06/2021 01:11,Inpetto,Over You,2.617883333
28/06/2021 01:14,Roddy Ricch,late at night,2.911366667
28/06/2021 01:18,Russ,Satisfy,3.546866667
28/06/2021 01:21,Lauv,i'm so tired... - Stripped - Live in LA,3.127916667
28/06/2021 01:24,ASTN,Love No More,3.6926
28/06/2021 01:27,ASTN,eighty five 911,2.692716667
28/06/2021 01:30,ASTN,Butterflies,2.920416667
28/06/2021 01:34,DJ Khaled,GREECE (feat. Drake),3.64835
28/06/2021 01:38,J. Cole,Crooked Smile (feat. TLC),4.642883333
28/06/2021 01:39,J. Cole,Love Yourz,0.586816667
28/06/2021 08:19,J. Cole,Love Yourz,0.104166667
28/06/2021 08:21,Metro Boomin,Dreamcatcher (feat. Swae Lee & Travis Scott),2.08445
28/06/2021 08:23,Inpetto,Over You,2.02545
28/06/2021 08:26,Roddy Ricch,late at night,2.911366667
28/06/2021 08:32,Russ,NIGHTTIME (Interlude),0.017633333
28/06/2021 08:32,Russ,Satisfy,3.440283333
28/06/2021 08:35,Serhat Durmus,Yolu Yok (feat. Zerrin),3.266516667
28/06/2021 08:36,Russ,NIGHTTIME (Interlude),1.077066667
28/06/2021 08:39,ASTN,eighty five 911,2.2358
28/06/2021 08:42,ASTN,Butterflies,2.920416667
28/06/2021 08:43,DJ Khaled,GREECE (feat. Drake),1.450133333
28/06/2021 08:45,AP Dhillon,Insane,1.505383333
28/06/2021 08:47,Serhat Durmus,Yolu Yok (feat. Zerrin),0.0595
28/06/2021 08:47,Metro Boomin,10 Freaky Girls (with 21 Savage),0.020666667
28/06/2021 08:47,Metro Boomin,Space Cadet (feat. Gunna),0.266033333
28/06/2021 08:47,Metro Boomin,Dreamcatcher (feat. Swae Lee & Travis Scott),1.961283333
28/06/2021 08:49,Metro Boomin,10AM/Save The World (feat. Gucci Mane),1.563666667
28/06/2021 09:04,Offset,Ric Flair Drip (with Metro Boomin),2.63
28/06/2021 16:31,LRN Slime,One Dance,0.292333333
29/06/2021 18:15,LRN Slime,One Dance,0.9133
29/06/2021 18:19,Olivia Rodrigo,drivers license,4.03355
29/06/2021 18:22,Olivia Rodrigo,"1 step forward, 3 steps back",2.726433333
29/06/2021 18:25,Olivia Rodrigo,deja vu,3.227066667
29/06/2021 18:28,Olivia Rodrigo,"1 step forward, 3 steps back",2.4472
29/06/2021 21:51,Metro Boomin,Dreamcatcher (feat. Swae Lee & Travis Scott),3.532
29/06/2021 21:55,ASTN,Love No More,3.6926
29/06/2021 22:12,Serhat Durmus,Yolu Yok (feat. Zerrin),2.94605
30/06/2021 05:47,Serhat Durmus,Yolu Yok (feat. Zerrin),3.241883333
30/06/2021 05:50,Russ,NIGHTTIME (Interlude),3.077233333
30/06/2021 15:27,Metro Boomin,10AM/Save The World (feat. Gucci Mane),3.772
30/06/2021 15:31,Metro Boomin,Dreamcatcher (feat. Swae Lee & Travis Scott),3.532
30/06/2021 15:33,Russ,NIGHTTIME (Interlude),0.027066667
30/06/2021 15:33,Serhat Durmus,Yolu Yok (feat. Zerrin),2.546933333
30/06/2021 18:19,khai dreams,Medicine,1.974133333
30/06/2021 18:20,Ben Howard,Promise,0.3202
30/06/2021 18:27,Ben Howard,Promise,2.091166667
30/06/2021 18:29,Fink,Yesterday Was Hard On All Of Us,2.529
30/06/2021 18:31,Floreyyyy,Not Even Her (feat. Shiloh),1.974833333
30/06/2021 18:33,Shiloh Dynasty,Dance with Me,1.456733333
30/06/2021 18:34,Powfu,death bed (coffee for your head),1.567416667
30/06/2021 18:41,Ben Howard,Promise,6.401333333
30/06/2021 18:45,sagun,I'm Drunk And Confused,2.6
30/06/2021 18:46,Shiloh Dynasty,Dance with Me,0.035333333
30/06/2021 18:46,sagun,I'll Keep You Safe,0.018
